name,image_url,recipe_keys,recipe_wpp,recipe_cal,recipe_protein,recipe_carbs,recipe_fat,recipe_time,recipe_ratings,num_of_rating,recipe_share_count,recipe_summary
Air Fryer Chicken Thighs,https://www.skinnytaste.com/wp-content/uploads/2022/11/Air-Fryer-Chicken-Thighs-4-260x390.jpg,"['Air Fryer Recipes', 'Dairy Free', 'Gluten Free', 'Keto Recipes', 'Kid Friendly', 'Low Carb', 'Under 30 Minutes', 'Whole30 Recipes']",7,213,16,1.5,15.5,29 mins,4.92,144,13448,These crispy Air Fryer Chicken Thighs have become a weeknight staple in my house. An easy recipe that you can whip up super fast!
High-Protein Zucchini Omelet for One,https://www.skinnytaste.com/wp-content/uploads/2022/10/High-Protein-Zucchini-Omelet-8-260x390.jpg,"['Gluten Free', 'Keto Recipes', 'Kid Friendly', 'Low Carb', 'Under 30 Minutes', 'Vegetarian Meals']",3,283,31,10.5,13,17 mins,4.95,19,3267,"This easy High-Protein Zucchini Omelet, for one, is a healthy way to start the morning. It’s a huge meal with over 36 grams of protein and 1 cup of veggies!"
Tortilla Soup,https://www.skinnytaste.com/wp-content/uploads/2022/11/Turkey-Tortilla-Soup-3-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Kid Friendly']",5,246,17,16,10,40 mins,4.65,14,2530,This delicious and easy Tortilla Soup is a great way to use up your leftover Thanksgiving turkey or chicken.
Stuffed Butternut Squash with Wild Rice and Sausage,https://www.skinnytaste.com/wp-content/uploads/2022/11/Stuffed-Butternut-Squash-with-Wild-Rice-_-Sausage-6-260x390.jpg,"['Dairy Free', 'Gluten Free']",6,314,16.5,51,7.5,1 hr 15 mins,4.58,14,2040,"This stuffed butternut squash is a meal in one, filled with chicken sausage and wild rice stuffing with mushrooms and cranberries."
Kale and Brussels Sprout Salad with Parmesan and Pecans,https://www.skinnytaste.com/wp-content/uploads/2022/11/Kale-and-Brussels-Sprouts-Salad-6-260x390.jpg,"['Gluten Free', 'Under 30 Minutes', 'Vegetarian Meals']",5,165,4,7,14,20 mins,4.78,9,2523,"This healthy, crunchy Kale and Brussels Sprout Salad with Parmesan and Pecans is tossed with a Dijon Maple Vinaigrette – so good!"
Sheet Pan Thanksgiving Dinner for Four,https://www.skinnytaste.com/wp-content/uploads/2022/11/Sheet-Pan-Thanksgiving-7-copy-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Kid Friendly']",10,608,59,38,26.5,1 hr 20 mins,4.67,3,878,"This easy Sheet Pan Thanksgiving dinner for four is made with roast turkey breast, maple-glazed sweet potatoes, and brussels sprouts."
Cornbread Sausage Stuffing,https://www.skinnytaste.com/wp-content/uploads/2022/11/Savory-Cornbread-Stuffing-8-260x390.jpg,"['Freezer Meals', 'Gluten Free', 'Kid Friendly']",5,182,8.5,21,7.5,2 hrs,5,2,679,"This made-from-scratch, savory cornbread sausage stuffing recipe is filled with sage, thyme, and Italian chicken sausage."
Vanilla Sweet Potato Casserole with Praline Topping,https://www.skinnytaste.com/wp-content/uploads/2022/11/Vanilla-Sweet-Potato-Casserole-with-Praline-Topping-8-260x390.jpg,"['Gluten Free', 'Vegetarian Meals']",6,218,4.5,35,8.5,1 hr 45 mins,5,5,1758,"This lightened-up Vanilla Sweet Potato Casserole with roasted, mashed sweet potatoes and a praline topping is a wonderful Thanksgiving side dish."
"Roasted Butternut Squash with Onions, Bacon, and Parmesan",https://www.skinnytaste.com/wp-content/uploads/2022/11/Roasted-Butternut-Squash-with-Onions-Bacon-and-Parmesan-5-260x390.jpg,['Gluten Free'],4,158,5,19,8,55 mins,5,7,3287,"Roasted Butternut Squash with Red Onions, Bacon, and Parmesan is made all in one sheet pan!"
Garlic Mashed Potatoes,https://www.skinnytaste.com/wp-content/uploads/2017/11/Garlic-Mashed-Potatoes-7-260x390.jpg,"['Gluten Free', 'Kid Friendly', 'Vegetarian Meals']",4,165,5,31,3,30 mins,4.83,17,10818,"These healthy Garlic Mashed Potatoes are creamy and much lighter than traditional mashed potatoes, and taste so darn good! The perfect side dish at any holiday."
