name,image_url,recipe_keys,recipe_wpp,recipe_cal,recipe_protein,recipe_carbs,recipe_fat,recipe_time,recipe_ratings,num_of_rating,recipe_share_count,recipe_summary
23 Easy Crock Pot Chicken Recipes,https://www.skinnytaste.com/wp-content/uploads/2023/05/23-crock-pot-chicken-260x390.png,['Slow Cooker Recipes'],,,,,,8 hrs 5 mins,0,0,,This hearty and healthy chicken chili is one of my most-requested recipes. And it’s no wonder why – toss all the ingredients in the crock and leave it to cook low and slow. Come back to the most flavorful homemade taco chili!
Pumpkin Chocolate Chip Cookies,https://www.skinnytaste.com/wp-content/uploads/2023/09/230915_soft-pumpkin-chocolate-chip-cookies-12-260x390.jpg,"['Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals']",5,95,2.5,25.5,3.5,25 mins,0,0,1173,"These soft Pumpkin Chocolate Chip Cookies, made with pumpkin puree, pumpkin spice, and cream cheese, have a cake-like texture and lots of pumpkin flavor!"
The 4 Best Olive Oil Sprayers of 2023,https://www.skinnytaste.com/wp-content/uploads/2023/08/Oil-sprayer-hero-260x390.jpg,[],,,,,,,0,0,,
Free 7 Day Healthy Meal Plan (Sept 25-Oct 1),https://www.skinnytaste.com/wp-content/uploads/2023/09/Week_400_Sep-25-Oct-1-260x390.jpg,[],,,,,,,0,0,115,
Coconut Curry Butternut Squash Soup,https://www.skinnytaste.com/wp-content/uploads/2010/10/Coconut-Curry-Butternut-Squash-Soup-5-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Under 30 Minutes', 'Vegetarian Meals']",2,108,2,14.5,5,25 mins,5,16,858,"Coconut milk, curry and Indian spices compliment the flavor of the butternut squash in this savory Coconut Curry Butternut Squash Soup."
Pumpkin Bread Recipe,https://www.skinnytaste.com/wp-content/uploads/2011/10/Pumpkin-Bread-Recipe-4-260x390.jpg,"['Dairy Free', 'Vegetarian Meals']",5,103,2.1,18.7,2.2,1 hr 15 mins,4.91,30,3008,"Warm up your kitchen with the scent of pumpkin spice and bake this pumpkin bread recipe, perfect for cozy, cool fall days."
Roasted Broccoli and Cauliflower,https://www.skinnytaste.com/wp-content/uploads/2023/09/230912_roasted-broccoli-cauliflower-09-260x390.jpg,"['Gluten Free', 'Kid Friendly', 'Under 30 Minutes']",4,163,5,14,11,45 mins,5,2,1124,"This easy sheet pan roasted broccoli and cauliflower with Parmesan, breadcrumbs, and garlic is quick and delicious!"
Pumpkin Baked Oatmeal Cups,https://www.skinnytaste.com/wp-content/uploads/2023/09/Pumpkin-Baked-Oatmeal-Cups-9-260x390.jpg,"['Freezer Meals', 'Gluten Free', 'Meal Prep Recipes', 'Vegetarian Meals']",2,104,6,37,3,45 mins,4.70,36,8255,"These creamy, pumpkin baked oatmeal cups are perfect to make in advance for breakfast on the go this fall!"
Apple Turnover,https://www.skinnytaste.com/wp-content/uploads/2023/09/Apple-Turnovers-11-260x390.jpg,"['Dairy Free', 'Kid Friendly', 'Vegetarian Meals']",2,111,1.5,24,1,1 hr 10 mins,0,0,635,"This easy Apple Turnover recipe is filled with apples, cinnamon, and golden raisins and made with a phyllo dough crust. It’s the perfect light fall dessert or breakfast! "
Apple Cobbler Recipe,https://www.skinnytaste.com/wp-content/uploads/2021/10/Skinny-Apple-Cobbler-11-2-260x390.jpg,['Vegetarian Meals'],7,215,1.5,44.5,4,1 hr 10 mins,5,14,6706,Cozy and delicious Apple Cobbler recipe made from scratch with warm cinnamon apples and a golden cobbler crust. 
Instant Pot Rice,https://www.skinnytaste.com/wp-content/uploads/2023/09/Instant-Pot-White-Rice-4-260x390.jpg,"['Dairy Free', 'Freezer Meals', 'Gluten Free', 'Meal Prep Recipes', 'Pressure Cooker Recipes', 'Under 30 Minutes', 'Vegetarian Meals']",6,179,3.5,37,1.5,28 mins,5,3,300,"Making fluffy, perfect white rice in the Instant Pot is easy, delicious, and foolproof with this simple method! "
Stuffed Shells with Meat Sauce,https://www.skinnytaste.com/wp-content/uploads/2011/09/Spinach-Stuffed-Shells-with-Meat-Sauce-10-260x390.jpg,"['Freezer Meals', 'Gluten Free', 'Kid Friendly']",9,360.9,28.4,34.3,12.8,1 hr 40 mins,5,21,4928,"Delicious Stuffed Shells with Meat Sauce are made with jumbo pasta shells stuffed with ricotta cheese, mozzarella and spinach in a ground turkey meat sauce. Healthy, high protein and family friendly! "
Chicken Nuggets,https://www.skinnytaste.com/wp-content/uploads/2023/09/Chicken-Nuggets-10-260x390.jpg,"['Air Fryer Recipes', 'Dairy Free', 'Gluten Free', 'Kid Friendly', 'Under 30 Minutes']",7,280,28,13,13,30 mins,5,9,1482,"These picky-kid-approved, healthy Chicken Nuggets are crispy on the outside and juicy on the inside. They’re better than ones from a fast-food restaurant and even have hidden veggies inside!"
Classic Egg Salad,https://www.skinnytaste.com/wp-content/uploads/2019/01/Egg-Salad-Finals-4-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Keto Recipes', 'Kid Friendly', 'Low Carb', 'Meal Prep Recipes', 'Paleo', 'Vegetarian Meals', 'Whole30 Recipes']",3,185,9.5,1,15.5,25 mins,4.88,48,14787,"This classic egg salad recipe is the perfect make-ahead dish for breakfast on toast, for lunch in a wrap, lettuce wrap, over salad or in a sandwich. "
Mini Pumpkin Chocolate Chip Muffins,https://www.skinnytaste.com/wp-content/uploads/2013/09/Mini-Pumpkin-Chocolate-Chip-Muffins-9-260x390.jpg,"['Kid Friendly', 'Vegetarian Meals']",6,160,2,27,5,40 mins,4.84,37,8451,Mini Pumpkin Chocolate Chip Muffins made lighter by swapping out butter for pumpkin puree – loaded with chocolate chips in every bite!
14 Healthy Cottage Cheese Recipes,https://www.skinnytaste.com/wp-content/uploads/2023/03/cottage-cheese-recipes-260x390.png,[],,,,,,,0,0,610,"These easy, delicious, high-protein Cottage Cheese Lasagna Roll Ups are vegetarian and perfect weeknight dinners. "
Banana Bread Recipe,https://www.skinnytaste.com/wp-content/uploads/2023/09/BananaBread-18-260x390.jpg,"['Dairy Free', 'Kid Friendly', 'Vegetarian Meals']",4,123,3,29,3,1 hr 10 mins,5,8,1610,"When I have ripe bananas on my counter, I always crave this moist banana bread recipe made healthier with applesauce in place of butter."
Cinnamon-Raisin Overnight Oats,https://www.skinnytaste.com/wp-content/uploads/2023/08/Cinnamon_Raisin_Overnight_Oats-03-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Meal Prep Recipes', 'Vegetarian Meals']",8,378,10,58,14,4 hrs 5 mins,5,3,969,"Easy Cinnamon-Raisin Overnight Oats are the perfect make-ahead, healthy weekday breakfast!"
Orange Chicken,https://www.skinnytaste.com/wp-content/uploads/2014/03/Orange-Chicken-7-260x390.jpg,"['Gluten Free', 'Under 30 Minutes']",4,288,32.5,18,9,30 mins,4.96,42,7791,"Sweet, spicy and flavorful – this makeover Orange Chicken is a lighter and healthier version of the popular Chinese fast-food take-out dish."
Skinnytaste Simple Cookbook: Free Bonus Pack plus 2 Exclusive Recipes with Pre-Order,https://www.skinnytaste.com/wp-content/uploads/2023/08/Screen-Shot-2023-08-30-at-4.27.34-PM-260x390.jpg,[],,,,,,,0,0,346,
Crispy Oven Roasted Baby Potatoes,https://www.skinnytaste.com/wp-content/uploads/2023/08/Sheet-Pan-Roasted-Potatoes-7-260x390.jpg,"['Gluten Free', 'Kid Friendly']",4,150,3,18,7.5,48 mins,4.96,25,3498,"These are the best, crispy Roasted Baby Potatoes made with on a sheet pan with small baby potatoes, Italian seasoning, garlic powder, and grated cheese."
Pasta with Creamy Zucchini Sauce,https://www.skinnytaste.com/wp-content/uploads/2023/08/Creamy-Pasta-with-Roasted-Parmesan-Zucchini-Sauce-10-260x390.jpg,"['Freezer Meals', 'Kid Friendly']",11,390,14,66,8,35 mins,4.74,30,3776,"There’s no cream in this creamy pasta recipe. Instead, the roasted zucchini creates a delicious, creamy sauce. It’s perfect as a meatless main dish or as a side with your favorite protein!"
"Salisbury Steak Meatballs (Instant Pot, Stove, Slow Cooker)",https://www.skinnytaste.com/wp-content/uploads/2016/08/Salisbury-Steak-Meatballs-9-1-260x390.jpg,"['Freezer Meals', 'Kid Friendly', 'Meal Prep Recipes', 'Pressure Cooker Recipes', 'Slow Cooker Recipes', 'Under 30 Minutes']",7,271,28,12,12,30 mins,4.64,119,39338,"These Salisbury Steak Meatballs are cooked in a mushroom gravy and lightened up by using half ground turkey and half lean ground beef. Kid-friendly, comforting and delicious!"
Mini Quiche,https://www.skinnytaste.com/wp-content/uploads/2023/08/Mini-Quiche-Recipe-9-260x390.jpg,['Meal Prep Recipes'],6,268,18,16,14,45 mins,5,4,1257,"If you need a healthy, protein-packed breakfast to make ahead and eat on the go, you’ll love this easy mini quiche recipe with ham and cheese. It’s great for breakfast, brunch, meal prep, and back to school. "
8 Must-Have Air Fryer Accessories to Level Up Your Cooking,https://www.skinnytaste.com/wp-content/uploads/2023/07/Hero-Image-2-260x390.jpg,[],,,,,,,0,0,,
Cauliflower Rice,https://www.skinnytaste.com/wp-content/uploads/2023/08/How-to-Make-Cauliflower-Rice-10-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Low Carb', 'Meal Prep Recipes', 'Vegetarian Meals']",2,103,3.5,12,5.5,35 mins,5,1,583,"Here's a step-by-step recipe for making easy, low-carb cauliflower rice from scratch in the skillet or roasted in the oven. It's delicious in bowls, arancini, stir fries, meal prep, and more."
Air Fryer Chicken Cutlets,https://www.skinnytaste.com/wp-content/uploads/2023/08/Air-Fryer-Chicken-Cutlets-9-260x390.jpg,"['Air Fryer Recipes', 'Kid Friendly']",4,268,30.5,14,9.5,1 hr 36 mins,4.85,13,3885,"Air fryer chicken cutlets turn out crispy, golden, juicy and delicious – perfect with veggies, over salads, with pasta, and more."
Cajun Chicken Pasta,https://www.skinnytaste.com/wp-content/uploads/2012/02/Cajun-Chicken-Pasta-4-260x390.jpg,"['Kid Friendly', 'Under 30 Minutes']",7,324,26,44,6,30 mins,4.80,58,16796,"This Cajun Chicken Pasta recipe is made with chicken breast strips, bell peppers, red onion, mushrooms and scallions in a creamy light Cajun sauce."
Loaded Baked Potato Soup,https://www.skinnytaste.com/wp-content/uploads/2016/08/Baked-Potato-Soup-5-260x390.jpg,"['Gluten Free', 'Kid Friendly', 'Under 30 Minutes']",7,200,14,23,7,20 mins,4.75,70,24045,"This healthy loaded baked potato soup recipe is comforting, delicious, and so easy to make!"
Turkey Meatloaf with Zucchini,https://www.skinnytaste.com/wp-content/uploads/2022/07/Turkey-Meatloaf-with-Zucchini-6-260x390.jpg,"['Dairy Free', 'Freezer Meals', 'Gluten Free', 'Kid Friendly', 'Meal Prep Recipes']",6,275,25.5,18,11.5,1 hr 10 mins,4.87,37,6186,"For the juiciest turkey meatloaf, add grated zucchini to it. This meatloaf is easy to whip up – mix all the ingredients, shape it into a loaf, and bake!"
Babka-Inspired Bagels,https://www.skinnytaste.com/wp-content/uploads/2023/08/Babka-Bagels-19-260x390.jpg,"['Kid Friendly', 'Vegetarian Meals']",5,158,5,30,2,1 hr 13 mins,5,7,1344,"These Greek yogurt bagels with a babka-inspired filling of cinnamon, sugar, and chocolate are delicious served as a treat for breakfast with coffee or as dessert."
Roasted Broccoli with Smashed Garlic,https://www.skinnytaste.com/wp-content/uploads/2010/03/Roasted-Broccoli-with-Smashed-Garlic-4-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Low Carb', 'Under 30 Minutes', 'Vegetarian Meals']",2,124,5,13,7.5,25 mins,4.91,21,4437,Oven-roasted broccoli with smashed garlic takes broccoli from basic to delicious in under 30 minutes. It’s a simple yet elegant side dish with just 5 ingredients.
Chicken Stroganoff,https://www.skinnytaste.com/wp-content/uploads/2023/08/Chicken-Stroganoff-9-1-260x390.jpg,['Kid Friendly'],7,241,24,11,12,1 hr,4.83,41,3803,"This family-friendly Chicken Stroganoff made with ground chicken and mushrooms in a creamy sauce is perfect over egg noodles, veggie noodles, or pasta. "
Feta Eggs with Zucchini,https://www.skinnytaste.com/wp-content/uploads/2023/08/Feta-Eggs-with-Zucchini-5-260x390.jpg,"['Gluten Free', 'Keto Recipes', 'Low Carb', 'Under 30 Minutes', 'Vegetarian Meals']",4,284,17.5,7.5,20.5,13 mins,5,19,1787,These 5-ingredient Feta Eggs with Zucchini take less than 10 minutes to make. An easy way to add veggies to your breakfast!
21 Healthy Rice Bowl Recipes,https://www.skinnytaste.com/wp-content/uploads/2023/06/ricce-bowl-recipes-260x390.png,"['Meal Prep Recipes', 'Under 30 Minutes']",,,,,,,0,0,350,"I'm all about the convenience of canned fish like salmon and tuna. This easy rice bowl recipe is inspired by my favorite spicy salmon sushi roll. It's the ultimate high-protein lunch that's easy on the wallet, too."
Air Fryer Fish Sticks,https://www.skinnytaste.com/wp-content/uploads/2023/08/Air-Fryer-Fish-Sticks-9-260x390.jpg,"['Air Fryer Recipes', 'Freezer Meals', 'Gluten Free', 'Kid Friendly', 'Meal Prep Recipes']",5,294,37,17,7.5,34 mins,4.63,8,1617,"Once you make air fryer fish sticks from scratch, you’ll never deep fry them again! Perfect with homemade tartar sauce."
Instant Pot Chicken Noodle Soup,https://www.skinnytaste.com/wp-content/uploads/2023/08/Instant-Pot-Chicken-Noodle-Soup-6-260x390.jpg,"['Dairy Free', 'Kid Friendly', 'Meal Prep Recipes', 'Pressure Cooker Recipes']",4,223,26.5,13.5,6.5,50 mins,5,9,2157,Enjoy this quick and easy Instant Pot Chicken Noodle Soup on a cold day or when you’re feeling under the weather. It’s so comforting!
Hummus,https://www.skinnytaste.com/wp-content/uploads/2023/08/Hummus-8-260x390.jpg,"['Dairy Free', 'Under 30 Minutes', 'Vegetarian Meals']",3,252,10,28.5,12,15 mins,4.94,16,2617,This quick and easy blender hummus comes out super creamy. It’s so easy to make from scratch that you’ll never buy it pre-made again!
Ratatouille with Farro,https://www.skinnytaste.com/wp-content/uploads/2023/08/RatatouillewithFarro-13-260x390.jpg,"['Dairy Free', 'Freezer Meals', 'Vegetarian Meals']",5,243,8.5,42,6.5,1 hr,5,18,1232,"Ratatouille with Farro is loaded with summer vegetables, like tomatoes, zucchini, bell peppers, and eggplant. Enjoy it as a vegetarian main or as a side dish with a protein."
Shrimp Quesadilla,https://www.skinnytaste.com/wp-content/uploads/2023/07/Shrimp-Quesadilla-5-260x390.jpg,"['Gluten Free', 'Kid Friendly', 'Under 30 Minutes']",7,299,24,27.5,16,45 mins,5,4,2483,Enjoy this protein-packed Shrimp Quesadilla recipe bursting with savory flavors – an ideal choice for a light and satisfying dinner or lunch.
Zucchini Gnocchi,https://www.skinnytaste.com/wp-content/uploads/2023/07/Zucchini-Gnocchi-4-260x390.jpg,"['Gluten Free', 'Kid Friendly', 'Vegetarian Meals']",3,216,7.5,38,4,1 hr,4.96,24,1704,"There are no potatoes in this homemade Zucchini Gnocchi. It’s mostly zucchini with a little flour and cheese, pan-fried with marinara sauce. Delish!"
Strawberry Swiss Roll,https://www.skinnytaste.com/wp-content/uploads/2023/07/Strawberry-Roll-9-260x390.jpg,[],5,153,5,32,10,2 hrs 39 mins,4.34,3,1006,"A Strawberry Swiss Roll is a classic dessert that offers a delightful combination of sponge cake, fresh strawberries, and cream, perfect for spring and summer when strawberries are at their peak."
Chicken Eggplant Parmesan,https://www.skinnytaste.com/wp-content/uploads/2023/07/Chicken-Eggplant-Parmesan-9-260x390.jpg,['Air Fryer Recipes'],8,473,52,26.5,16,35 mins,4.38,8,1574,"Chicken Eggplant Parmesan is made with breaded, air-fried (or baked) chicken breast and topped with a simple eggplant marinara sauce and fresh mozzarella. It’s high in protein and delicious!"
Air Fryer Asian Meatballs,https://www.skinnytaste.com/wp-content/uploads/2023/07/Asian-Meatball-Rice-Bowls-6-260x390.jpg,"['Air Fryer Recipes', 'Dairy Free', 'Freezer Meals', 'Meal Prep Recipes']",10,483,37,49,16,40 mins,4.73,22,3789,Air Fryer Asian Turkey Meatballs with rice and edamame is a healthy meal for dinner or lunch and great for meal prep!
Gazpacho,https://www.skinnytaste.com/wp-content/uploads/2023/07/230718_gazpacho-14-260x390.jpg,"['Dairy Free', 'Vegetarian Meals']",2,116,3,15,6,3 hrs 30 mins,4.91,22,1202,"Gazpacho, a chilled soup made with fresh tomatoes, cucumbers, and bell peppers, is a delicious way to stay cool and hydrated during the hot summer months."
Zucchini Pancakes,https://www.skinnytaste.com/wp-content/uploads/2008/07/ZuchiniPancakes-06-260x390.jpg,"['Kid Friendly', 'Low Carb', 'Vegetarian Meals']",2,120,7.5,14,4,25 mins,4.75,16,2612,"Like potato pancakes but with fewer carbs, these savory Zucchini Pancakes are the perfect side dish with grilled chicken or meat. "
Corn Salsa,https://www.skinnytaste.com/wp-content/uploads/2019/02/Corn-Salsa-with-Lime-5-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Kid Friendly', 'Low Carb', 'Under 30 Minutes', 'Vegetarian Meals']",0,57,2,12,0.5,1 hr 15 mins,5,33,5629,"This easy corn salsa made with lime, cilantro and tomatoes are perfect with chips or served over your favorite tacos or burrito bowls!"
Zucchini Bread,https://www.skinnytaste.com/wp-content/uploads/2022/08/Zucchini-Bread-7-1-260x390.jpg,"['Freezer Meals', 'Kid Friendly', 'Vegetarian Meals']",5,144,3.5,21,5.5,1 hr 15 mins,4.82,22,3967,"This moist and delicious Zucchini Bread recipe with walnuts, cinnamon, and vanilla, is made lighter with applesauce, perfect for breakfast or snack."
Spicy Salmon Sushi Pizza,https://www.skinnytaste.com/wp-content/uploads/2023/07/Spicy-Salmon-Sushi-Pizza-7-260x390.jpg,"['Air Fryer Recipes', 'Dairy Free', 'Gluten Free']",8,403,24.5,17,26.5,20 mins,5,6,679,"I'm obsessed with this spicy salmon sushi pizza made with spicy mayo, sushi- grade salmon, avocado, scallions, and jalapeño on a tortilla crust."
The 14 Best Grill Tools For Your Next Backyard BBQ,https://www.skinnytaste.com/wp-content/uploads/2023/06/Hero-Image-260x390.jpg,[],,,,,,,0,0,,
Air Fryer Pork Chops,https://www.skinnytaste.com/wp-content/uploads/2021/09/Air-Fryer-Pork-Chops-5-1-260x390.jpg,"['Air Fryer Recipes', 'Dairy Free', 'Gluten Free', 'Kid Friendly', 'Under 30 Minutes']",7,378,33,8,13,22 mins,4.90,121,34619,"The best, crispy Air Fryer Boneless Pork Chops! So moist and juicy on the inside with a golden and crisp exterior."
Pupusas,https://www.skinnytaste.com/wp-content/uploads/2023/07/Pupusas-12-260x390.jpg,"['Dairy Free', 'Freezer Meals', 'Gluten Free', 'Vegetarian Meals']",6,220,8,32,8,40 mins,5,6,1115,"Pupusas are stuffed tortillas made with corn masa, cheese and beans served with curtido. They’re easy to customize with any filling you wish."
Savory Zucchini Waffles,https://www.skinnytaste.com/wp-content/uploads/2023/07/Savory-Zucchini-Waffle-Recipe-5-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Kid Friendly', 'Low Carb', 'Vegetarian Meals']",2,75,4.5,6.5,3.5,45 mins,4.91,44,2759,"Dust off that waffle iron and make these savory zucchini waffles! It’s easy, super delicious, and a great way to use summer zucchini."
"The Best Amazon Prime Day Deals on Air Fryers, Grill Tools, and More",https://www.skinnytaste.com/wp-content/uploads/2023/07/Henckles-Knives-260x390.jpg,[],,,,,,,0,0,,
BBQ Chicken,https://www.skinnytaste.com/wp-content/uploads/2023/07/BBQ-Chicken-8-260x390.jpg,"['Dairy Free', 'Low Carb']",7,267,27,7.5,13.5,1 hr 30 mins,5,3,984,"This 5-ingredient BBQ Chicken is juicy, beautifully charred, and easy to make using your favorite BBQ sauce. Perfect for your summer cookout!"
Homemade Ferrero Rocher (Hazelnut) Date Balls,https://www.skinnytaste.com/wp-content/uploads/2023/06/HomemadeFerreroRocherHazelnutDateBalls-06-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Under 30 Minutes', 'Vegetarian Meals']",5,90,2,9.5,6,20 mins,5,1,430,"Healthy Chocolate Hazelnut Date Balls, inspired by Ferrero Rocher are made with hazelnuts, dates, pumpkin puree, and cocoa powder."
20 Best Burger Recipes,https://www.skinnytaste.com/wp-content/uploads/2023/05/20-best-burger-recipes-260x390.png,[],,,,,,,0,0,486,"Why top your burgers with cheese when you can stuff them with it? These “inside out” turkey burgers are filled with melty, gooey low-fat cheddar, for a lighter hamburger that tastes just as indulgent!"
Grilled Pesto Chicken and Tomato Kebabs,https://www.skinnytaste.com/wp-content/uploads/2013/06/Grilled-Pesto-Chicken-and-Tomato-Kebabs-7-260x390.jpg,"['Gluten Free', 'Keto Recipes', 'Kid Friendly', 'Low Carb']",2,147,18,3,7.5,1 hr 20 mins,5,21,19547,"Grilled Pesto Chicken and Tomato Kebabs are easy to make with boneless skinless chicken breast, tomatoes and basil pesto."
Chicken Burger,https://www.skinnytaste.com/wp-content/uploads/2023/06/Chicken_Burger-06-260x390.jpg,"['Dairy Free', 'Freezer Meals', 'Meal Prep Recipes', 'Under 30 Minutes']",7,284,27.5,19,3,15 mins,5,9,609,"These moist and juicy ground chicken burgers are perfect on a bun with all the fixins, in a lettuce wrap for a carb-free meal, or in a bowl for meal prep!"
Coleslaw Recipe,https://www.skinnytaste.com/wp-content/uploads/2023/06/Cole-Slaw-7-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Low Carb', 'Under 30 Minutes', 'Vegetarian Meals', 'Whole30 Recipes']",2,73,1,7,5,45 mins,4.93,13,3528,"This homemade coleslaw recipe is the perfect side to pair with anything you’re grilling this summer! Serve it as a side dish with sandwiches, burgers, hot dogs, and more."
20 Must-Haves Kitchen Tools for Healthy Eating,https://www.skinnytaste.com/wp-content/uploads/2023/06/Hero-260x390.jpg,[],,,,,,,0,0,,
Grilled Chicken Sandwich,https://www.skinnytaste.com/wp-content/uploads/2023/06/Grilled-Chicken-Sandwiches-6-1-260x390.jpg,"['Dairy Free', 'Kid Friendly']",6,406,45,29.5,11.5,4 hrs 30 mins,4.84,18,3362,"My favorite Grilled Chicken Sandwich, made with tender, pickle-brined grilled chicken breast with a zesty slaw and spicy mayo – so good!!"
Grilled Pineapple,https://www.skinnytaste.com/wp-content/uploads/2011/06/Grilled-Pineapple-4-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Kid Friendly', 'Vegetarian Meals']",4,102,0.6,24,1,15 mins,4.97,26,3101,"This quick and easy Grilled Pineapple recipe with honey, lime juice, and cinnamon is perfect for summer dinners or backyard parties!"
Slow Cooker Pulled Pork,https://www.skinnytaste.com/wp-content/uploads/2012/04/pulled-pork-07-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Kid Friendly', 'Slow Cooker Recipes']",7,203,30.5,12.5,3,7 hrs 5 mins,4.95,53,13540,This easy Slow Cooker Pulled Pork is made with my homemade BBQ sauce – it smells incredible while it slow cooks all day and comes out tender and delicious.
Mediterranean Meatballs,https://www.skinnytaste.com/wp-content/uploads/2023/06/Mediterranean-Meatball-Bowl-8-260x390.jpg,"['Air Fryer Recipes', 'Gluten Free', 'Kid Friendly', 'Meal Prep Recipes']",11,466,31,48,16,30 mins,5,42,4517,"Mediterranean Meatballs made with flavorful ground turkey meatballs served over Israeli couscous and a bright, lemony cucumber tomato salad. Make them in the air fryer or oven!"
Smash Tacos,https://www.skinnytaste.com/wp-content/uploads/2023/06/Smashed-Taco-10-260x390.jpg,"['Kid Friendly', 'Under 30 Minutes']",12,452,31,32,20,30 mins,4.61,28,3014,I hopped on the smashed taco trend and made these turkey smash burger tacos a little lighter than what I’ve seen on TikTok. They came out delicious!
Loaded Egg Muffins,https://www.skinnytaste.com/wp-content/uploads/2016/02/Loaded-Baked-Omelet-Muffins-4-260x390.jpg,"['Freezer Meals', 'Gluten Free', 'Keto Recipes', 'Kid Friendly', 'Low Carb', 'Meal Prep Recipes', 'Under 30 Minutes']",2,165,14,2.5,11,30 mins,4.70,126,62469,"These easy, loaded egg muffins can be filled with any combination of veggies, cheese and meats. Easy breakfast to make ahead for the week."
Veggie Kabobs,https://www.skinnytaste.com/wp-content/uploads/2023/06/Veggie-Kabobs-7-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals']",1,105,3.5,24,1,30 mins,4.50,4,919,"These colorful, fresh veggie kabobs are perfect for throwing on the grill when you need a quick side dish."
Chipotle Chicken,https://www.skinnytaste.com/wp-content/uploads/2023/06/Chipotle-Chicken-Thighs-7-260x390.jpg,"['Air Fryer Recipes', 'Dairy Free', 'Gluten Free', 'Keto Recipes', 'Kid Friendly', 'Low Carb', 'Meal Prep Recipes', 'Under 30 Minutes']",4,216,34,2,7,30 mins,5,25,3756,"This quick and easy chipotle chicken recipe is made with boneless, skinless chicken thighs (or breasts). It's smoky, spicy, and delicious for homemade burrito bowls, tacos, quesadillas, and more."
Italian Pasta Salad,https://www.skinnytaste.com/wp-content/uploads/2023/06/Italian-Pasta-Salad-7-260x390.jpg,"['Gluten Free', 'Kid Friendly']",7,237,9,28,9.5,1 hr 30 mins,4.87,23,3777,"Cold Italian pasta salad packed with colorful veggies, such as broccoli, tomatoes, and cucumbers, plus Italian favorites like salami, cheese, pepperoncini, and olives."
How To Cook Quinoa,https://www.skinnytaste.com/wp-content/uploads/2019/08/How-To-Make-Perfect-Quinoa-in-the-Instant-Pot-9-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Under 30 Minutes', 'Vegetarian Meals']",4,172,6,31,3,20 mins,4.92,12,1241,"A foolproof recipe for making perfect, fluffy quinoa for adding to salads, stir-fries, bowls, and even breakfast dishes and so much more."
13 Easy Canned Tuna Recipes,https://www.skinnytaste.com/wp-content/uploads/2023/05/best-canned-tuna-recipes-260x390.png,[],,,,,,,0,0,148,"As you’ll see on this list, my favorite way to make tuna salad sandwiches is open-faced. It leaves loads of space for veggie-filled tuna salad, and in this case, avocado slices and sprouts. "
Protein Bagels with Cottage Cheese,https://www.skinnytaste.com/wp-content/uploads/2023/06/Protein-Bagels-4-260x390.jpg,"['Air Fryer Recipes', 'Freezer Meals', 'Gluten Free', 'Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals']",5,164,9,28.5,1,37 mins,4.84,74,8336,Whip up a batch of these quick and easy High Protein Bagels with Cottage Cheese for breakfast or lunch in less than 30 minutes – they come out perfect!
Turkey Burger Recipe,https://www.skinnytaste.com/wp-content/uploads/2023/06/turkey-burgers-2-260x390.jpg,"['Dairy Free', 'Kid Friendly', 'Meal Prep Recipes', 'Under 30 Minutes']",8,351,29,33.5,12,25 mins,4.94,15,2784,"This easy turkey burger recipe is simple and delicious, perfect for a quick, healthy meal. You can make them ahead and freeze them for meal prep or grill them any night of the week. "
Greek Cottage Cheese Bowl,https://www.skinnytaste.com/wp-content/uploads/2023/05/Skinny_Taste_Greek_Cottage_cheese_bowl-7-260x390.jpg,"['Gluten Free', 'Low Carb', 'Under 30 Minutes', 'Vegetarian Meals']",7,186,21.5,9.5,7,15 mins,4.83,28,3115,This Greek Cottage Cheese Bowl is an easy high-protein breakfast or lunch that is fresh and flavorful and doesn’t require any cooking.
Taco Seasoning Recipe,https://www.skinnytaste.com/wp-content/uploads/2023/06/Taco-Seasoning-Recipe-2-260x390.jpg,"['Dairy Free', 'Gluten Free', 'Keto Recipes', 'Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals', 'Whole30 Recipes']",0,8,,1.5,,5 mins,4.67,3,753,"Next time you're planning to make tacos, skip the store-bought packets and whip up your own homemade taco seasoning. It's the best taco seasoning recipe, I've been using this for years!"
Mexican-Inspired Grilled Corn Salad with Cotija,https://www.skinnytaste.com/wp-content/uploads/2022/06/Grilled-Corn-Salad-with-Cojita-6-260x390.jpg,"['Gluten Free', 'Kid Friendly', 'Under 30 Minutes', 'Vegetarian Meals']",2,117,4,13,6.5,30 mins,5,45,10394,"Grilled Corn Salad is inspired by Mexican street corn (elote) and made with chili- lime seasoning, scallions, and cotija cheese with no mayo. "
