website,airline,flight_time,num_of_stops,stops,total_flight_duration,source_to_dest,carry_on_bag,checked_bag,price,flight_class,flight_deal_provider,original_departure_date,first_leg_info,flght_times,flight_stations,flight_durations,flight_carriers,flight_layover_duration,flight_layover_locations,flight_quality_details,class_features
www.kayak.com,Norwegian,2:10 pm–8:15 pm,2 stops,"OSL, SVG",8h 05m,HEL-MAN,0,0,$110,LowFare,mytrip.com, Dec 18,Norwegian 1191,"['2:10 pm', '2:45 pm', '6:10 pm', '7:05 pm', '7:40 pm', '8:15 pm']","['Helsinki-Vantaa (HEL)', 'Oslo Gardermoen (OSL)', 'Oslo Gardermoen (OSL)', 'Stavanger Sola (SVG)', 'Stavanger Sola (SVG)', 'Manchester (MAN)']","['1h 35m', '0h 55m', '1h 35m']","['Norwegian 1191', 'Norwegian 544', 'Norwegian 1326']","['3h 25m', '0h 35m']","['Change planes in Oslo (OSL)', 'Change planes in Stavanger (SVG)']","[['Boeing 737-800 (winglets) (Narrow-body jet)', 'Chance of Wi-Fi (fee)', '29"" seat pitch', 'Light meal (fee)'], ['Boeing 737-800 (winglets) (Narrow-body jet)', 'Chance of Wi-Fi (fee)', '29"" seat pitch'], ['Boeing 737-800 (winglets) (Narrow-body jet)', 'Chance of Wi-Fi (fee)', '29"" seat pitch', 'Light meal (fee)']]","['Standard Economy seat ', 'Standard Economy layout', 'Streaming entertainment ']"
www.kayak.com,Lufthansa,7:25 pm–11:15 pm,1 stop,MUC,5h 50m,HEL-MAN,1,0,$212,Economy Light,Lufthansa, Dec 18,Lufthansa 2463,"['7:25 pm', '9:10 pm', '10:05 pm', '11:15 pm']","['Helsinki-Vantaa (HEL)', 'Munich Franz Josef Strauss (MUC)', 'Munich Franz Josef Strauss (MUC)', 'Manchester (MAN)']","['2h 45m', '2h 10m']","['Lufthansa 2463', 'Lufthansa 2506']",['0h 55m'],['Change planes in Munich (MUC)'],"[['Airbus A321neo (Narrow-body jet)', 'Chance of USB outlet', '29"" seat pitch', 'Light meal (fee)'], ['Airbus A320neo (Narrow-body jet)', 'Chance of USB outlet', '29"" seat pitch', 'Light meal (fee)']]","['Charge on the go', 'Improved experience with Airspace cabin', 'Take action with Compensaid', 'More choice with Onboard Delights', 'Improved experience with Airspace cabin', 'Quality on every route', 'More choice with Onboard Delights']"
www.kayak.com,Norwegian,2:10 pm–8:15 pm,2 stops,"OSL, SVG",8h 05m,HEL-MAN,0,0,$110,LowFare,mytrip.com, Dec 18,Norwegian 1191,"['2:10 pm', '2:45 pm', '5:05 pm', '6:00 pm', '7:40 pm', '8:15 pm']","['Helsinki-Vantaa (HEL)', 'Oslo Gardermoen (OSL)', 'Oslo Gardermoen (OSL)', 'Stavanger Sola (SVG)', 'Stavanger Sola (SVG)', 'Manchester (MAN)']","['1h 35m', '0h 55m', '1h 35m']","['Norwegian 1191', 'Norwegian 540', 'Norwegian 1326']","['2h 20m', '1h 40m']","['Change planes in Oslo (OSL)', 'Change planes in Stavanger (SVG)']","[['Boeing 737-800 (winglets) (Narrow-body jet)', 'Chance of Wi-Fi (fee)', '29"" seat pitch', 'Light meal (fee)'], ['Boeing 737-800 (winglets) (Narrow-body jet)', 'Chance of Wi-Fi (fee)', '29"" seat pitch'], ['Boeing 737-800 (winglets) (Narrow-body jet)', 'Chance of Wi-Fi (fee)', '29"" seat pitch', 'Light meal (fee)']]","['Standard Economy seat ', 'Standard Economy layout', 'Streaming entertainment ']"
www.kayak.com,"Finnair, Ryanair",11:45 am–4:05 pm,1 stop,CPH,6h 20m,HEL-MAN,0,0,$165,Economy Superlight,Kiwi.com, Dec 18,Finnair 953,"['11:45 am', '12:25 pm', '3:05 pm', '4:05 pm']","['Helsinki-Vantaa (HEL)', 'Kastrup Copenhagen (CPH)', 'Kastrup Copenhagen (CPH)', 'Manchester (MAN)']","['1h 40m', '2h 00m']","['Finnair 953', 'Ryanair 6880']",['2h 40m'],['Change planes in Copenhagen (CPH)'],"[['Airbus A321 (sharklets) (Narrow-body jet)', 'Streaming capable Wi-Fi (fee)', '31"" seat pitch', 'Preorder light meal (fee)'], ['Boeing 737 MAX 8 (Narrow-body jet)', '28"" seat pitch', 'Light meal (fee)']]",['Finnair Economy']
www.kayak.com,"Finnair, Scandinavian Airlines",4:00 pm–7:50 pm,1 stop,OSL,5h 50m,HEL-MAN,0,0,$184,Economy Superlight,Kiwi.com, Dec 18,Finnair 915  ·  Operated by Norra,"['4:00 pm', '4:35 pm', '6:35 pm', '7:50 pm']","['Helsinki-Vantaa (HEL)', 'Oslo Gardermoen (OSL)', 'Oslo Gardermoen (OSL)', 'Manchester (MAN)']","['1h 35m', '2h 15m']","['Finnair 915  ·  Operated by Norra', 'Scandinavian Airlines 4610']",['2h 00m'],['Change planes in Oslo (OSL)'],"[['Embraer 190 (Narrow-body jet)', '31"" seat pitch', 'Preorder light meal (fee)'], ['Airbus A320neo (Narrow-body jet)', 'Chance of Wi-Fi (fee)', 'USB outlet', '30"" seat pitch', 'Snacks (fee)']]",['Finnair Economy']
www.kayak.com,"Finnair, Ryanair",7:00 am–11:20 am,1 stop,GOT,6h 20m,HEL-MAN,0,0,$164,Economy Superlight,Kiwi.com, Dec 18,Finnair 861  ·  Operated by Norra,"['7:00 am', '8:10 am', '10:20 am', '11:20 am']","['Helsinki-Vantaa (HEL)', 'Gothenburg Landvetter (GOT)', 'Gothenburg Landvetter (GOT)', 'Manchester (MAN)']","['2h 10m', '2h 00m']","['Finnair 861  ·  Operated by Norra', 'Ryanair 3089']",['2h 10m'],['Change planes in Gothenburg (GOT)'],"[['ATR 72-201 / 202 (Turbo-prop plane)', '31"" seat pitch', 'Preorder light meal (fee)'], ['Boeing 737 MAX 8 (Narrow-body jet)', '28"" seat pitch', 'Light meal (fee)']]",['Finnair Economy']
www.kayak.com,"Finnair, Ryanair",12:00 pm–4:40 pm,1 stop,RIX,6h 40m,HEL-MAN,0,0,$159,Economy Superlight,Kiwi.com, Dec 18,Finnair 1073  ·  Operated by Norra,"['12:00 pm', '1:10 pm', '3:35 pm', '4:40 pm']","['Helsinki-Vantaa (HEL)', 'Riga Intl (RIX)', 'Riga Intl (RIX)', 'Manchester (MAN)']","['1h 10m', '3h 05m']","['Finnair 1073  ·  Operated by Norra', 'Ryanair 4097']",['2h 25m'],['Change planes in Riga (RIX)'],"[['ATR 72-201 / 202 (Turbo-prop plane)', '31"" seat pitch'], ['Boeing 737 MAX 8 (Narrow-body jet)', '28"" seat pitch', 'Light meal (fee)']]",['Finnair Economy']
www.kayak.com,Scandinavian Airlines,11:05 am–7:50 pm,1 stop,OSL,10h 45m,HEL-MAN,0,0,$115,Economy,mytrip.com, Dec 18,Scandinavian Airlines 2701,"['11:05 am', '11:40 am', '6:35 pm', '7:50 pm']","['Helsinki-Vantaa (HEL)', 'Oslo Gardermoen (OSL)', 'Oslo Gardermoen (OSL)', 'Manchester (MAN)']","['1h 35m', '2h 15m']","['Scandinavian Airlines 2701', 'Scandinavian Airlines 4610']",['6h 55m'],['Change planes in Oslo (OSL)'],"[['Airbus A320neo (Narrow-body jet)', 'Chance of Wi-Fi (fee)', 'USB outlet', '30"" seat pitch', 'Snacks (fee)'], ['Airbus A320neo (Narrow-body jet)', 'Chance of Wi-Fi (fee)', 'USB outlet', '30"" seat pitch', 'Snacks (fee)']]",[]
www.kayak.com,"Scandinavian Airlines, easyJet",6:30 am–12:05 pm,1 stop,CPH,7h 35m,HEL-MAN,0,0,$145,Standard,Kiwi.com, Dec 18,Scandinavian Airlines 1705,"['6:30 am', '7:15 am', '11:05 am', '12:05 pm']","['Helsinki-Vantaa (HEL)', 'Kastrup Copenhagen (CPH)', 'Kastrup Copenhagen (CPH)', 'Manchester (MAN)']","['1h 45m', '2h 00m']","['Scandinavian Airlines 1705', 'easyJet 2236']",['3h 50m'],['Change planes in Copenhagen (CPH)'],"[['Airbus A320neo (Narrow-body jet)', 'Chance of Wi-Fi (fee)', 'USB outlet', '30"" seat pitch', 'Snacks (fee)'], ['Airbus A320-100/200 (Narrow-body jet)', '29"" seat pitch', 'Light meal (fee)']]",[]
www.kayak.com,"Finnair, Ryanair UK",7:30 am–2:15 pm,1 stop,OSL-TRF,8h 45m,HEL-MAN,0,0,$122,Economy Superlight,Kiwi.com, Dec 18,Finnair 911,"['7:30 am', '8:05 am', '1:15 pm', '2:15 pm']","['Helsinki-Vantaa (HEL)', 'Oslo Gardermoen (OSL)', 'Oslo Sandefjord (TRF)', 'Manchester (MAN)']","['1h 35m', '2h 00m']","['Finnair 911', 'Ryanair UK 3227']",['5h 10m'],['Change airport from Oslo Gardermoen to Oslo Sandefjord'],"[['Airbus A321 (sharklets) (Narrow-body jet)', 'Streaming capable Wi-Fi (fee)', '31"" seat pitch', 'Preorder light meal (fee)'], ['Boeing 737-800 (winglets) (Narrow-body jet)', '30"" seat pitch', 'Light meal (fee)']]",['Finnair Economy']
